"","type1","name1","type2","name2"
"404","LTR","IAPEz-int","rRNA_repeat","LSU-rRNA_Hsa"
"405","protein_coding","Angptl7","LTR","IAPEz-int"
"406","protein_coding","Mgmt","protein_coding","Dtx3l"
"407","protein_coding","Sacm1l","protein_coding","Dlgap1"
"408","LTR","IAPEz-int","protein_coding","Ccnyl1"
"409","LINE","L1ME3A","protein_coding","B4galnt2"
"410","protein_coding","Slc22a23","protein_coding","2410042D21Rik"
"411","LTR","IAPLTR2a","protein_coding","Kirrel3"
"412","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1Md_T"
"413","LTR","IAPEz-int","LTR","IAPEz-int"
"414","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"415","rRNA_repeat","SSU-rRNA_Hsa","LTR","MTD"
"416","LTR","IAPLTR2a","antisense","Gm12339"
"417","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"418","LTR","IAPEz-int","LTR","IAPEz-int"
"419","protein_coding","9930022D16Rik","miRNA","mmu-let-7e-5p"
"420","LTR","IAPEz-int","protein_coding","Stard9"
"421","protein_coding","Rrp1b","protein_coding","Zfyve1"
"422","LTR","IAPEz-int","LTR","IAPEz-int"
"423","LINE","Lx2B","protein_coding","Ccdc164"
"424","LTR","IAPEz-int","LTR","IAPEz-int"
"425","LTR","RLTR11A2","protein_coding","App"
"426","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"427","LTR","IAPEz-int","LTR","IAPEz-int"
"428","protein_coding","Fut8","protein_coding","Sacm1l"
"429","LTR","IAPEz-int","protein_coding","Chpf"
"430","LTR","IAPEz-int","protein_coding","Ankar"
"431","protein_coding","Ahcyl2","protein_coding","Sacm1l"
"432","LTR","IAPLTR2a","LTR","RMER12B"
"433","protein_coding","Sacm1l","protein_coding","Dlgap1"
"434","protein_coding","Rgs18","LTR","RLTR28B"
"435","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"436","protein_coding","Gm281","protein_coding","Dap3"
"437","protein_coding","D130043K22Rik","protein_coding","Mbd5"
"438","protein_coding","Grm1","protein_coding","Gm1973"
"439","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"440","protein_coding","Loh12cr1","DNA","Tigger1"
"441","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Negr1"
"442","LTR","IAPEz-int","protein_coding","Usp5"
"443","LTR","RMER16-int","protein_coding","Wapal"
"444","LTR","IAPEz-int","LTR","IAPEz-int"
"445","protein_coding","Neurl1a","protein_coding","Cmya5"
"446","LTR","IAPEz-int","LTR","IAPEz-int"
"447","protein_coding","Gm2016","protein_coding","Dnahc1"
"448","LINE","L1_Mus2","protein_coding","C77080"
"449","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"450","protein_coding","Ldb2","snRNA","ENSMUSG00000065253_U6"
"451","protein_coding","Sacm1l","protein_coding","Dlgap1"
"452","LINE","L1Md_A","protein_coding","Adarb2"
"453","LTR","IAPEz-int","LTR","IAPEz-int"
"454","LTR","IAPLTR2a","protein_coding","Afap1l2"
"455","protein_coding","Gm20388","LINE","L1Md_A"
"456","LTR","IAPEz-int","LTR","IAPEz-int"
"457","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Camk1d"
"458","LTR","RMER10A","protein_coding","Schip1"
"459","LTR","IAPEz-int","protein_coding","Csmd3"
"460","protein_coding","Prpf40b","protein_coding","Sacm1l"
"461","protein_coding","Fut8","protein_coding","Sacm1l"
